company,review_title,source_section,label,text,text_length,rating,review_date,source_url,language,clean_text,clean_text_length
Softtek,No benefits,pros,positive,"de trabajar en Softtek según las evaluaciones de empleados reales? Los usuarios dicen... "" No benefits or very minimum "" "" Bad management just looking for their own interests "" "" Many managers have no experience so their decisions constantly add stress to the team members and project leaders. "" "" Medium to low pay . "" "" no career path """,338,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",en,de trabajar en softtek según las evaluaciones de empleados reale los usuarios dicen benefit minimum bad management look interest manager experience decision constantly add stress team member project leader medium low pay career path,232
Softtek,Preguntas frecuentes sobre las evaluaciones de Softtek,pros,positive,"de trabajar en Softtek según las evaluaciones de empleados reales? Los usuarios dicen... "" Culture is great "" "" The environment is good and people there is quite supportative. "" "" A lot of learning and a good work environment "" "" Work life balance is good "" "" Good Work Culture "" ¿Cuáles son las",295,3.9,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",en,de trabajar en softtek según las evaluaciones de empleados reale los usuarios dicen culture great environment good people supportative lot learning good work environment work life balance good good work culture cuále son las,224
Softtek,empleos vacantes de Softtek en México,pros,positive,"de trabajar en Softtek según las evaluaciones de empleados reales? Los usuarios dicen... "" Culture is great "" "" The environment is good and people there is quite supportative. "" "" A lot of learning and a good work environment "" "" Work life balance is good "" "" Good Work Culture "" ¿Cuáles son las",295,3.9,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",en,de trabajar en softtek según las evaluaciones de empleados reale los usuarios dicen culture great environment good people supportative lot learning good work environment work life balance good good work culture cuále son las,224
NEORIS,low salaries,pros,positive,"de trabajar en NEORIS según las evaluaciones de empleados reales? Los usuarios dicen... "" One of the worst things is the low salaries . "" "" To have a good career path you have to be well seen by the management, it is no needed to have the required skills. "" "" could have a better work life balance "" "" There are no growth opportunities and no salary increases even with a good evaluation "" "" Lack of growth opportunities within the company """,441,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,en,de trabajar en neoris según las evaluaciones de empleados reale los usuarios dicen bad thing low salary good career path see management need require skill well work life balance growth opportunity salary increase good evaluation lack growth opportunity company,260
NEORIS,Preguntas frecuentes sobre las evaluaciones de NEORIS,pros,positive,"de trabajar en NEORIS según las evaluaciones de empleados reales? Los usuarios dicen... "" Good benefits vs most IT companies in Mexico "" "" Some good people "" "" Tried to be formal and nice offices "" "" Challenging: a great opportunity to learn and grow "" "" Great athmosphere Continuous learning Good pay "" ¿Cuáles son las",319,3.7,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,en,de trabajar en neoris según las evaluaciones de empleados reale los usuarios dicen good benefit vs company mexico good people try formal nice office challenge great opportunity learn grow great athmosphere continuous learn good pay cuále son las,245
NEORIS,NEORIS,pros,positive,"de trabajar en NEORIS según las evaluaciones de empleados reales? Los usuarios dicen... "" Good benefits vs most IT companies in Mexico "" "" Some good people "" "" Tried to be formal and nice offices "" "" Challenging: a great opportunity to learn and grow "" "" Great athmosphere Continuous learning Good pay "" ¿Cuáles son las",319,3.7,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,en,de trabajar en neoris según las evaluaciones de empleados reale los usuarios dicen good benefit vs company mexico good people try formal nice office challenge great opportunity learn grow great athmosphere continuous learn good pay cuále son las,245
Tata Consultancy Services,Good,pros,positive,"Good Environment, Good Work Culture",35,4.0,mar 2026,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,en,good environment good work culture,34
Tata Consultancy Services,less salary,pros,positive,"de trabajar en Tata Consultancy Services según las evaluaciones de empleados reales? Los usuarios dicen... "" less salary hike and focus more on completing courses rather than learning things to show to client "" "" No value for hard work no salary hike like very less hike no clarity on opportunities "" "" Huge number of employees; TCS is mainly a service based company; Employee performance management is poor . "" "" Less pay and leaves cannot be used properly without approvals which takes lot of effort to ask for "" "" Too much politics and will only be given a hike or any other perk if you flatter your manager. """,613,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,en,de trabajar en tata consultancy service según las evaluaciones de empleados reale los usuarios dicen salary hike focus complete course learn thing client value hard work salary hike like hike clarity opportunity huge number employee tcs mainly service base company employee performance management poor pay leaf properly approval take lot effort ask politic give hike perk flatter manager,387
Tata Consultancy Services,Recomendada,pros,positive,"Good Environment, Good Work Culture",35,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,en,good environment good work culture,34
Tata Consultancy Services,"Good Environment, Good Work Culture",pros,positive,"Good Environment, Good Work Culture",35,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,en,good environment good work culture,34
Tata Consultancy Services,Preguntas frecuentes sobre las evaluaciones de Tata Consultancy Services,pros,positive,"de trabajar en Tata Consultancy Services según las evaluaciones de empleados reales? Los usuarios dicen... "" Good work life balance and also many thing to grow as a employee and a person "" "" “ Job security is good for any roles” and TCS is described as being “on par with govt jobs” "" "" Location of the firm as its in the centre of the city and the work culture is also Good "" "" Good work environment and you have to work end to end on the project so learning is excellent. "" "" Good for learning and good opportunity if you are under good work (client). "" ¿Cuáles son las",571,3.5,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,en,de trabajar en tata consultancy service según las evaluaciones de empleados reale los usuarios dicen good work life balance thing grow employee person job security good role tcs describe par govt job location firm centre city work culture good good work environment work end end project learning excellent good learn good opportunity good work client cuále son las,364
