company,review_title,source_section,label,text,text_length,rating,review_date,source_url,language
Softtek,Un buen lugar para adquirir experiencia,pros,positive,Tiene clientes muy competitivos que te permiten crecer profecionalmente,71,4.0,mar 2026,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,Network engineer,pros,positive,Buen ambiente laboral y proyectos,33,3.0,mar 2026,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,Comunicación,pros,positive,Ofrecen cursos de capacitacion a otras áreas El trabajo es relativamente tranquilo,82,2.0,mar 2026,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,Softtek,pros,positive,Tiene clientes muy competitivos que te permiten crecer profecionalmente,71,3.8,mar 2026,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,Evaluaciones por cargo,pros,positive,Tiene clientes muy competitivos que te permiten crecer profecionalmente,71,3.0,mar 2026,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,Recomendada,pros,positive,Tiene clientes muy competitivos que te permiten crecer profecionalmente,71,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,Tiene clientes muy competitivos que te permiten crecer profecionalmente,pros,positive,Tiene clientes muy competitivos que te permiten crecer profecionalmente,71,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,No hay mucha oportunidad de crecimiento de sueldos,pros,positive,No hay mucha oportunidad de crecimiento de sueldos,50,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,Recomendada,pros,positive,Buen ambiente laboral y proyectos,33,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,Buen ambiente laboral y proyectos,pros,positive,Buen ambiente laboral y proyectos,33,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,Los sueldos son bajos y no hay aumentos,pros,positive,Los sueldos son bajos y no hay aumentos,39,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,Recomendada,pros,positive,Ofrecen cursos de capacitacion a otras áreas El trabajo es relativamente tranquilo,82,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,Ofrecen cursos de capacitacion a otras áreas El trabajo es relativamente tranquilo,pros,positive,Ofrecen cursos de capacitacion a otras áreas El trabajo es relativamente tranquilo,82,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
Softtek,,pros,positive,"Realmente que esos cursos buscan bloquearlos para que no tengas acceso La enorme falta de comunicacion, muchas veces tenias que retrabajar cosas que ya habian quedado por escrito pero que superiores no se molestaban en revisar",226,,,"https://www.glassdoor.com.mx/Reviews/Softtek-Mexico-Reviews-EI_IE108072.0,7_IL.8,14_IN169.htm?countryPickerRedirect=true",es
NEORIS,todo bien,pros,positive,para comenzar tu carreta esta bien,34,4.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es
NEORIS,Data Developer,pros,positive,Aprendes tecnología y estas con clientes buenis,47,2.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es
NEORIS,Soporte,pros,positive,Aprendizaje directo con el cliente,34,3.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es
NEORIS,NEORIS,pros,positive,para comenzar tu carreta esta bien,34,3.7,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es
NEORIS,Evaluaciones por cargo,pros,positive,para comenzar tu carreta esta bien,34,3.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es
NEORIS,Recomendada,pros,positive,para comenzar tu carreta esta bien,34,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es
NEORIS,para comenzar tu carreta esta bien,pros,positive,para comenzar tu carreta esta bien,34,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es
NEORIS,Recomendada,pros,positive,Aprendes tecnología y estas con clientes buenis,47,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es
NEORIS,Aprendes tecnología y estas con clientes buenis,pros,positive,Aprendes tecnología y estas con clientes buenis,47,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es
NEORIS,Recomendada,pros,positive,Aprendizaje directo con el cliente,34,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es
NEORIS,Aprendizaje directo con el cliente,pros,positive,Aprendizaje directo con el cliente,34,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es
NEORIS,Los sueldos no suelen ser competitivos,pros,positive,Los sueldos no suelen ser competitivos,38,,,https://www.glassdoor.com.mx/Evaluaciones/NEORIS-Evaluaciones-E21367.htm?countryPickerRedirect=true,es
Tata Consultancy Services,Salario formato trainee con 3 año de estadia,pros,positive,No hay presiones Trabajas con el cliente Entrega equipos Beneficios Descuentos Udemy LinkedIn learning,102,4.0,mar 2026,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es
Tata Consultancy Services,Poco crecimiento,pros,positive,las prestaciones son las de ley,31,2.0,mar 2026,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es
Tata Consultancy Services,Tata Consultancy Services,pros,positive,No hay presiones Trabajas con el cliente Entrega equipos Beneficios Descuentos Udemy LinkedIn learning,102,3.5,mar 2026,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es
Tata Consultancy Services,Evaluaciones por cargo,pros,positive,No hay presiones Trabajas con el cliente Entrega equipos Beneficios Descuentos Udemy LinkedIn learning,102,3.0,mar 2026,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es
Tata Consultancy Services,Recomendada,pros,positive,No hay presiones Trabajas con el cliente Entrega equipos Beneficios Descuentos Udemy LinkedIn learning,102,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es
Tata Consultancy Services,No hay presiones Trabajas con el cliente Entrega equipos Beneficios Descuentos Udemy LinkedIn learning,pros,positive,No hay presiones Trabajas con el cliente Entrega equipos Beneficios Descuentos Udemy LinkedIn learning,102,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es
Tata Consultancy Services,No sentido de pertenencia No aumento salarial durante el año No hay ascenso de puesto realista,pros,positive,No sentido de pertenencia No aumento salarial durante el año No hay ascenso de puesto realista,94,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es
Tata Consultancy Services,Recomendada,pros,positive,las prestaciones son las de ley,31,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es
Tata Consultancy Services,las prestaciones son las de ley,pros,positive,las prestaciones son las de ley,31,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es
Tata Consultancy Services,los horarios varian demasiado de un dia a otro,pros,positive,los horarios varian demasiado de un dia a otro,46,,,https://www.glassdoor.com.mx/Reviews/Tata-Consultancy-Services-Reviews-E13461.htm?countryPickerRedirect=true,es
Chubb,Desinformación,pros,positive,Flexibles en horarios y vacaciones Buen sueldo Buenas Prestaciones Híbrido o Remoto,83,4.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es
Chubb,Modo de Trabajo,pros,positive,"La ventaja es que al ser practicante y tener tiempo parcial se acomoda muy bien a tus estudios, además el formato híbrido es ideal como estudiante.",147,5.0,feb 2026,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es
Chubb,Buen lugar,pros,positive,Flexibilidad Aprendizaje Buen lugar Crecimiento Estabilidad,59,4.0,ene 2026,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es
Chubb,Chubb,pros,positive,Flexibles en horarios y vacaciones Buen sueldo Buenas Prestaciones Híbrido o Remoto,83,3.7,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es
Chubb,Evaluaciones por cargo,pros,positive,Flexibles en horarios y vacaciones Buen sueldo Buenas Prestaciones Híbrido o Remoto,83,3.0,mar 2026,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es
Chubb,Recomendada,pros,positive,Flexibles en horarios y vacaciones Buen sueldo Buenas Prestaciones Híbrido o Remoto,83,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es
Chubb,Flexibles en horarios y vacaciones Buen sueldo Buenas Prestaciones Híbrido o Remoto,pros,positive,Flexibles en horarios y vacaciones Buen sueldo Buenas Prestaciones Híbrido o Remoto,83,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es
Chubb,Ambiente laboral malo Exceso de cursos obligatorios Cambios de management seguido Desconexión entre RH y sus Equipos Desconexión entre todos los equipos,pros,positive,Ambiente laboral malo Exceso de cursos obligatorios Cambios de management seguido Desconexión entre RH y sus Equipos Desconexión entre todos los equipos,152,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es
Chubb,Recomendada,pros,positive,"La ventaja es que al ser practicante y tener tiempo parcial se acomoda muy bien a tus estudios, además el formato híbrido es ideal como estudiante.",147,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es
Chubb,"La ventaja es que al ser practicante y tener tiempo parcial se acomoda muy bien a tus estudios, además el formato híbrido es ideal como estudiante.",pros,positive,"La ventaja es que al ser practicante y tener tiempo parcial se acomoda muy bien a tus estudios, además el formato híbrido es ideal como estudiante.",147,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es
Chubb,La organización y comunicación debería mejorar.,pros,positive,La organización y comunicación debería mejorar.,47,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es
Chubb,Recomendada,pros,positive,Flexibilidad Aprendizaje Buen lugar Crecimiento Estabilidad,59,,,https://www.glassdoor.com.mx/Evaluaciones/Chubb-Evaluaciones-E150.htm?countryPickerRedirect=true,es
