company,review_title,rating,review_date,source_url,page_number,segment_label,raw_text,language,clean_text,lemma_text,text_length
Airbnb,,,,,,pros,"Free food, work from home",en,free food work from home,free food work home,4
Airbnb,,,,,,cons,Low pay and very little growth,en,low pay and very little growth,low pay little growth,4
Airbnb,,,,,,pros,"- Good learning opportunities and exposure to cross-functional teams
- Some managers and teams genuinely embody the company’s cultural principles and maintain transparent communication.
- Benefits and policies, including parental support, are well-designed on paper",en,good learning opportunities and exposure to cross functional teams some managers and teams genuinely embody the company s cultural principles and maintain transparent communication benefits and policies including parental support are well designed on paper,good learn opportunity exposure cross functional team manager team genuinely embody company s cultural principle maintain transparent communication benefit policy include parental support design paper,25
Airbnb,,,,,,cons,"There
 is a noticeable gap between the stated culture and actual employee 
experience in certain teams.

Leadership decisions can sometimes lack transparency and empathy, 
particularly during organizational changes.

- In my experience, communication during role changes or position 
closures was not handled with the level of care one would expect from a 
company that strongly emphasizes culture
- There are concerns around consistency in how employees across regions 
are treated and valued, which can impact morale
- The quality of people management varies significantly depending on the
 manager",en,there is a noticeable gap between the stated culture and actual employee experience in certain teams leadership decisions can sometimes lack transparency and empathy particularly during organizational changes in my experience communication during role changes or position closures was not handled with the level of care one would expect from a company that strongly emphasizes culture there are concerns around consistency in how employees across regions are treated and valued which can impact morale the quality of people management varies significantly depending on the manager,noticeable gap stated culture actual employee experience certain team leadership decision lack transparency empathy particularly organizational change experience communication role change position closure handle level care expect company strongly emphasize culture concern consistency employee region treat value impact morale quality people management vary significantly depend manager,46
Airbnb,,,,,,pros,"Remote, flexible work hours, kind team",en,remote flexible work hours kind team,remote flexible work hour kind team,6
Airbnb,,,,,,cons,"Lots of bureaucracy and politics, need to manage up",en,lots of bureaucracy and politics need to manage up,lot bureaucracy politic need manage,5
Airbnb,,,,,,pros,"- Great folks with great skills
- Greater collaboration
- New challenges and exciting work
- Generous leave and insurance policy
- Lunch and Snacks
- Employee credits of upto 84,000 INR / year",en,great folks with great skills greater collaboration new challenges and exciting work generous leave and insurance policy lunch and snacks employee credits of upto inr year,great folk great skill great collaboration new challenge exciting work generous leave insurance policy lunch snack employee credit upto inr year,21
Airbnb,,,,,,cons,"- Matrix organizational structure
- No additional pay for additional work / overtime
- Low opportunities for growth
- Below market compensation",en,matrix organizational structure no additional pay for additional work overtime low opportunities for growth below market compensation,matrix organizational structure additional pay additional work overtime low opportunity growth market compensation,13
Airbnb,,,,,,pros,"Good WLB, pay is decent, culture is good",en,good wlb pay is decent culture is good,good wlb pay decent culture good,6
Airbnb,,,,,,cons,Not too much career growth,en,not too much career growth,career growth,2
Airbnb,,,,,,pros,"Good culture, cool product, great CEO",unknown,good culture cool product great ceo,good culture cool product great ceo,6
Airbnb,,,,,,cons,Too much politics; things are moving pretty slowly,en,too much politics things are moving pretty slowly,politic thing move pretty slowly,5
Airbnb,,,,,,pros,Option to work fully remote or from an office.,en,option to work fully remote or from an office,option work fully remote office,5
Airbnb,,,,,,cons,Teammates can be located in different locations making it hard to have in person meet up.,en,teammates can be located in different locations making it hard to have in person meet up,teammate locate different location make hard person meet,8
Airbnb,,,,,,pros,Good work life balance and nice people,en,good work life balance and nice people,good work life balance nice people,6
Airbnb,,,,,,cons,Slow career progression and less interesting technical problems,en,slow career progression and less interesting technical problems,slow career progression interesting technical problem,6
Airbnb,,,,,,pros,"Aspirational culture
True belonging once you get down 2 or 3 layers from Brian",en,aspirational culture true belonging once you get down or layers from brian,aspirational culture true belong layer brian,6
Airbnb,,,,,,cons,"Aspirational values don’t truly show up day to day
Employee experience is broken",en,aspirational values don t truly show up day to day employee experience is broken,aspirational value don t truly day day employee experience break,10
Airbnb,,,,,,pros,"・Travel, hospitality and tech – Ideal for anyone who loves travel, hospitality, 　community building, and tech innovation.
・Regular off‑site meetups – Opportunities to connect with colleagues 
　from different regions IRL.
・Iconic office design – Meeting rooms styled after real property listings 
　add a fun, brand‑aligned touch.
・Great food & drinks – A wide variety of tasty, nutritious food and 
　beverages are always available. They even have a dedicated food 
　department.",en,travel hospitality and tech ideal for anyone who loves travel hospitality community building and tech innovation regular off site meetups opportunities to connect with colleagues from different regions irl iconic office design meeting rooms styled after real property listings add a fun brand aligned touch great food drinks a wide variety of tasty nutritious food and beverages are always available they even have a dedicated food department,travel hospitality tech ideal love travel hospitality community building tech innovation regular site meetup opportunity connect colleague different region irl iconic office design meeting room style real property listing add fun brand align touch great food drink wide variety tasty nutritious food beverage available dedicated food department,47
Airbnb,,,,,,cons,"・Typical chaotic startup pace – Processes evolve on the fly, often 
    prioritizing speed and quantity over quality, which can dilute outcomes 
    and reduce impact.
・Indirect feedback process – Constructive criticism toward a colleague 
   was escalated as a formal complaint to my line manager, who accepted it 
   without hearing my perspective.
・Managerial handling of conflict – During a meeting, my line manager 
　lashed out at a colleague, avoided taking responsibility, and later reframed 
　the incident as a question of the colleague’s stress level.",en,typical chaotic startup pace processes evolve on the fly often prioritizing speed and quantity over quality which can dilute outcomes and reduce impact indirect feedback process constructive criticism toward a colleague was escalated as a formal complaint to my line manager who accepted it without hearing my perspective managerial handling of conflict during a meeting my line manager lashed out at a colleague avoided taking responsibility and later reframed the incident as a question of the colleague s stress level,typical chaotic startup pace process evolve fly prioritize speed quantity quality dilute outcome reduce impact indirect feedback process constructive criticism colleague escalate formal complaint line manager accept hear perspective managerial handling conflict meeting line manager lash colleague avoid take responsibility later reframe incident question colleague s stress level,48
Airbnb,,,,,,pros,"really good diverse, equati and inclusion ratings",en,really good diverse equati and inclusion ratings,good diverse equati inclusion rating,5
Airbnb,,,,,,cons,i dont know what to write,en,i dont know what to write,not know write,3
Airbnb,,,,,,pros,"Fun environment, fast paced, smooth",en,fun environment fast paced smooth,fun environment fast pace smooth,5
Airbnb,,,,,,cons,Ehhh poor management and hard quota.,en,ehhh poor management and hard quota,ehhh poor management hard quota,5
Airbnb,,,,,,pros,"Flexible work timings, Remote work,
Work is challenging and you can get good exposure to global operations",en,flexible work timings remote work work is challenging and you can get good exposure to global operations,flexible work timing remote work work challenging good exposure global operation,11
Airbnb,,,,,,cons,"Can be a bit stressful at times, high performance culture in the company but the growth is also tremendous",en,can be a bit stressful at times high performance culture in the company but the growth is also tremendous,bit stressful time high performance culture company growth tremendous,9
Airbnb,,,,,,pros,"- WFH is a big plus
- Live & Work Anywhere program is another perk though ""anywhere"" is really a stretch 
- Decent pay and benefits though pay equality in Canada is lacking compared to same roles in the US
- Belo days",en,wfh is a big plus live work anywhere program is another perk though anywhere is really a stretch decent pay and benefits though pay equality in canada is lacking compared to same roles in the us belo days,wfh big plus live work program perk stretch decent pay benefit pay equality canada lack compare role belo day,19
Airbnb,,,,,,cons,"-
 Nothing premium about the role, it is a regular call center job
- Constant abusive, threatening and entitled users, agents are expected 
to absorb harassment without adequate company intervention.
- Exhausting work and stress due to high call volume and cases
- Little to no support from managers who are  largely inaccessible due 
to meetings, leading to a sink or swim environment.
- High-pressure QA audits demand flawless execution of ever-changing 
scripts and protocols, regardless of high call volumes or the difficulty
 of the customer.
- Working lots of unpaid overtime during busy peak period to keep up 
with work load. Either you stay late to clear your queue for free or 
face performance management if you work quality/scores drops.
- ""Schedule Adherence"" metrics are punitive You’re penalized if a call 
runs into your break, but penalized if you drop the call to take the 
break. It’s a lose-lose.",en,nothing premium about the role it is a regular call center job constant abusive threatening and entitled users agents are expected to absorb harassment without adequate company intervention exhausting work and stress due to high call volume and cases little to no support from managers who are largely inaccessible due to meetings leading to a sink or swim environment high pressure qa audits demand flawless execution of ever changing scripts and protocols regardless of high call volumes or the difficulty of the customer working lots of unpaid overtime during busy peak period to keep up with work load either you stay late to clear your queue for free or face performance management if you work quality scores drops schedule adherence metrics are punitive you re penalized if a call runs into your break but penalized if you drop the call to take the break it s a lose lose,premium role regular center job constant abusive threatening entitle user agent expect absorb harassment adequate company intervention exhaust work stress high volume case little support manager largely inaccessible meeting lead sink swim environment high pressure qa audits demand flawless execution change script protocol regardless high volume difficulty customer work lot unpaid overtime busy peak period work load stay late clear queue free face performance management work quality score drop schedule adherence metric punitive penalize run break penalize drop break s lose lose,82
Airbnb,,,,,,pros,"Amazing benefits, smart and kind coworkers",en,amazing benefits smart and kind coworkers,amazing benefit smart kind coworker,5
Airbnb,,,,,,cons,"There weren’t any cons honestly, very hard to complain about anything",en,there weren t any cons honestly very hard to complain about anything,weren t con honestly hard complain,6
Airbnb,,,,,,pros,"Nice culture, good product, pays well",en,nice culture good product pays well,nice culture good product pay,5
Airbnb,,,,,,cons,Stock is not going up,en,stock is not going up,stock go,2
Airbnb,,,,,,pros,"Offers a great work life balance, smart coworkers, good pay, remote",en,offers a great work life balance smart coworkers good pay remote,offer great work life balance smart coworker good pay remote,10
Airbnb,,,,,,cons,"Can be top-down, slow, better for coasting than growth",en,can be top down slow better for coasting than growth,slow well coast growth,4
Airbnb,,,,,,pros,Great company to work for,en,great company to work for,great company work,3
Airbnb,,,,,,cons,none at the exact moment,en,none at the exact moment,exact moment,2
Airbnb,,,,,,pros,Best platform for hosting short and long term rentals,en,best platform for hosting short and long term rentals,good platform host short long term rental,7
Airbnb,,,,,,cons,Guest often are confused reGARDING HOW TO CHECK IN,en,guest often are confused regarding how to check in,guest confuse check,3
Airbnb,,,,,,pros,"Great flexibility and work life balance
Competitive compensation",en,great flexibility and work life balance competitive compensation,great flexibility work life balance competitive compensation,7
Airbnb,,,,,,cons,A lot of product iteration makes it hard to make long term architectural plans and to secure resourcing.,en,a lot of product iteration makes it hard to make long term architectural plans and to secure resourcing,lot product iteration make hard long term architectural plan secure resourcing,11
Airbnb,,,,,,pros,Growing company - pioneered a unique concept,en,growing company pioneered a unique concept,grow company pioneer unique concept,5
Airbnb,,,,,,cons,Growing company = Growing pains,en,growing company growing pains,grow company grow pain,4
Airbnb,,,,,,pros,"Some good benefits, like three months to work from anywhere, and permanent remotely work",en,some good benefits like three months to work from anywhere and permanent remotely work,good benefit like month work permanent remotely work,8
Airbnb,,,,,,cons,"Crazy workload 
Shifts work (only a weekend off per month)
There is a false sense of team, when you need, it's all by yourself 
Hard to get holidays
Rare chances of promotion or internal moving 
Micromanaging
Very lower salary compared to other techs",en,crazy workload shifts work only a weekend off per month there is a false sense of team when you need it s all by yourself hard to get holidays rare chances of promotion or internal moving micromanaging very lower salary compared to other techs,crazy workload shift work weekend month false sense team need s hard holiday rare chance promotion internal moving micromanage low salary compare tech,23
Airbnb,,,,,,pros,Strong global brand with impressive market presence,en,strong global brand with impressive market presence,strong global brand impressive market presence,6
Airbnb,,,,,,cons,"Leadership culture can be highly political, especially at mid-to-senior levels

Decision-making is often influenced by internal alignments rather than performance or facts

Lack of transparent processes when it comes to conflict resolution and performance management

Employees can be subjected to sudden allegations without fair opportunity to defend themselves

HR support tends to align more with leadership narratives than neutral fact-finding

Psychological safety is inconsistent — speaking up can sometimes work against you",en,leadership culture can be highly political especially at mid to senior levels decision making is often influenced by internal alignments rather than performance or facts lack of transparent processes when it comes to conflict resolution and performance management employees can be subjected to sudden allegations without fair opportunity to defend themselves hr support tends to align more with leadership narratives than neutral fact finding psychological safety is inconsistent speaking up can sometimes work against you,leadership culture highly political especially mid senior level decision making influence internal alignment performance fact lack transparent process come conflict resolution performance management employee subject sudden allegation fair opportunity defend hr support tend align leadership narrative neutral fact find psychological safety inconsistent speak work,44
Airbnb,,,,,,pros,"As
 a Comms Manager, you are at the center of some of the most fascinating 
cultural and regulatory conversations in the tech world. No two days are
 the same. I experienced a clear path to promotion. If you are proactive
 and can navigate the matrix, leadership is generally supportive of 
upleveling high performers.",en,as a comms manager you are at the center of some of the most fascinating cultural and regulatory conversations in the tech world no two days are the same i experienced a clear path to promotion if you are proactive and can navigate the matrix leadership is generally supportive of upleveling high performers,comms manager center fascinating cultural regulatory conversation tech world day experience clear path promotion proactive navigate matrix leadership generally supportive uplevele high performer,23
Airbnb,,,,,,cons,"Because
 Airbnb operates in a sensitive regulatory and legal environment, 
getting a simple statement or press release approved often requires 
navigating multiple layers of Legal, Policy, and Executive stakeholders.",en,because airbnb operates in a sensitive regulatory and legal environment getting a simple statement or press release approved often requires navigating multiple layers of legal policy and executive stakeholders,airbnb operate sensitive regulatory legal environment get simple statement press release approve require navigate multiple layer legal policy executive stakeholder,20
Airbnb,,,,,,pros,They are reasonable and easy to use app.,en,they are reasonable and easy to use app,reasonable easy use app,4
Airbnb,,,,,,cons,Slow answer times when help needed.,en,slow answer times when help needed,slow answer time help need,5
Apex Systems,,,,,,pros,"- Paga decente (en comparación a otros trabajos similares)
- Acceso a cursos de capacitación opcionales",es,paga decente en comparación a otros trabajos similares acceso a cursos de capacitación opcionales,pagar decente comparación trabajo similar acceso curso capacitación opcional,9
Apex Systems,,,,,,cons,"-
 Cambio constante de carga laboral
- Presión con métricas cada vez más detalladas
- Cambios casi diarios de la metodología de trabajo
- Pocas oportunidades de crecimiento
- Baja flexibilidad de horario
- Monitoreo constante durante tu horario laboral, con la particularidad 
de tener que generar tu propio reporte diario que incluya todos tus 
breaks y demás actividades.

Lo que comenzó como un buen trabajo se convirtió lentamente en una 
experiencia cada vez más parecida a un call center tradicional. Fui 
despedido de manera injustificada como muchos en su momento, bajo la 
excusa de ponernos en Banca. Todavía no nos han querido pagar nuestra 
liquidación, incluso nos retuvieron el sueldo para que aceptáramos 
migajas por una rescisión de contrato. Para esta empresa, que tiene el 
supuesto eslogan de ''do the right thing'', el cliente es juez, jurado y
 verdugo de todos los empleados. Si todo sigue igual no dudo que pronto 
haya más demandas colectivas.",es,cambio constante de carga laboral presión con métricas cada vez más detalladas cambios casi diarios de la metodología de trabajo pocas oportunidades de crecimiento baja flexibilidad de horario monitoreo constante durante tu horario laboral con la particularidad de tener que generar tu propio reporte diario que incluya todos tus breaks y demás actividades lo que comenzó como un buen trabajo se convirtió lentamente en una experiencia cada vez más parecida a un call center tradicional fui despedido de manera injustificada como muchos en su momento bajo la excusa de ponernos en banca todavía no nos han querido pagar nuestra liquidación incluso nos retuvieron el sueldo para que aceptáramos migajas por una rescisión de contrato para esta empresa que tiene el supuesto eslogan de do the right thing el cliente es juez jurado y verdugo de todos los empleados si todo sigue igual no dudo que pronto haya más demandas colectivas,cambio constante carga laboral presión métrica detallado cambio diario metodología trabajo oportunidad crecimiento bajo flexibilidad horario monitoreo constante horario laboral particularidad generar reporte diario incluir breaks actividad comenzar trabajo convertir lentamente experiencia parecido call center tradicional despedir injustificado momento excusa poner yo banca querer pagar liquidación retener sueldo aceptárar migaja rescisión contrato empresa eslogan do the right thing cliente juez jurado verduguir empleado dudo demanda colectivo,66
Apex Systems,,,,,,pros,Muchos compañeros muy capaces y buenos en su trabajo,es,muchos compañeros muy capaces y buenos en su trabajo,compañero capaz trabajo,3
