company,title,pros,cons
Softtek,Buen ambiente de trabajo,"multiples tecnologias, ideql para desarrollo profesional",prestaciones menos atractivas que la vompetencia
Softtek,Un buen lugar para adquirir experiencia,Tiene clientes muy competitivos que te permiten crecer profecionalmente,No hay mucha oportunidad de crecimiento de sueldos
Softtek,Network engineer,Buen ambiente laboral y proyectos,Los sueldos son bajos y no hay aumentos
Softtek,Comunicación,"Ofrecen cursos de capacitacion a otras áreas
El trabajo es relativamente tranquilo","Realmente que esos cursos buscan bloquearlos para que no tengas acceso
La enorme falta de comunicacion, muchas veces tenias que retrabajar cosas que ya habian quedado por escrito pero que superiores no se molestaban en revisar"
Softtek,Muy buena opcion para empezar,"Tinen buena organizacion en recursos humanos no tienes problemas con los pagos o prestaciones que ofrecen, te da la oportunidad de participar en proyectos con empresas grandes y/o americanas es muy buen lugar para ir empezando","depende totalmente de tu proyecto, he estado en proyectos asignados a US y todo esta muy bien pero he escuchado de proyectos para empresas en mexico que son muy explotadoras.

Utilidades nulas."
Softtek,Compensacion,Te organizas a tus tiempo,Pocos vales de despensa y prestaciones normales
Softtek,Todo bien hasta ahora,"Home office, proyectos internacionales y retadores, pool mientras te asignan a otro proyecto",outsourcing; el proyecto se acaba y pues ni gracias te dan jeje
Softtek,mejorar lideres,salario es competitivo al mercado aunque puede ser mejor,"todo depende de como le caigas al lider, tiene muy malos lideres"
Softtek,Buen lugar de crecimiento,"Se trabaja de forma , remota las prestaciones son de ley tienen, una buena cultura laboral,  tratan de  integrarte  apesar de ser  remoto.","Mi equipo llego tarde, tuve mucho problemas de seguridad para trabajar en ambientes de escritorio virtual"
Softtek,Sr JAVA developer,"- sueldo competitivo
- buenos clientes
- buenos compañeros","- clientes muy inestables, de un dia a otro ya se acaba la asignación
- el aumento salarial es nulo o insignificante
- a veces el plan de carrera es un poco desactualizado"
Softtek,Experiencia personal,Tiene muchas prestaciones muy buenas,Muy coplicado para coonseguir aumentos
Softtek,Programador Java,"Estuve asignado a un banco en modelo hibrido, mi estancia fue buena. Realmente el crecimiento depende del empeño que le pongas, la empresa ofrece cursos y una plataforma para aprender ingles.","No hay aumentos de sueldo, al menos yo batalle mucho tiempo para que me lo dieran"
Softtek,Evaluation,Las prestaciones son muy buenas,Cuando se termina el proyecto si no te colocan dentro de los primeros meses puedes causar baja
Softtek,Esta bien por si vas saliendo de la uni,Te dan Remoto o Hybrido,No creces y te dan trabajo de otras areas
Softtek,Sueldo,"Buen sueldo, es competitivo y da extras",Buenas prestaciones extras a las de ley
Softtek,Buena opción para desarrollar,Te permite empaparte de nuevas tecnologías rápidamente.,En ocasiones la carga de trabajo no te permite desarrollarte en otras áreas de interés.
Softtek,ingeniero de soporte jr,"Uso de nuevas tecnologías y constante crecimiento
Muy bueno como primer trabajo",Sueldo relativamente bajo aunque buenas oportunidades de aprendizaje dentro de la empresa
Softtek,Pésimo salario,Seguro médico de gastos mayores,Explotación laboral y baja paga
Softtek,Gran empresa,"Salario
Home Office
Clientes internacionales",Poco crecimiento a corto plazo
Softtek,Buena empresa,"Prestaciones superiores a las de ley, 25 días de aguinaldo, vales de despensa, viajes a softtekiada pagados por la empresa (cancún, ixtapa, puerto vallarta) es un evento deportivo de la empresa llevado a cabo en la playa, si ganas tu lugar te pagan el hospedaje todo incluido, solo pagas el traslado, entrenamientos gratuitos, excelente ambiente laboral, trabajo híbrido, seguros de gastos médicos mayores y menores, webinars de nutrición, finanzas, ejercicio, chequeos médicos anuales gratuitos","2 días obligatorios de asistencia a la oficina, utilidades nulas o escasas (150 pesos MXN), depende mucho el líder que te toque la experiencia que tendrás, es muy complicado que te autoricen aumentos de sueldos, en algunos casos te dan de alta con menos salario en el IMSS."
Softtek,Reclutador,Buena empresa en muchos sentidos,"Mal reparto de utilidades, es muy poco"
Softtek,Mala experiencia,Te capacitan para el puesto,"Mal pagado(muy por abajo del promedio)
Falsos aumentos(prometen y no cumplen)
Contacto con los managers complicado"
Softtek,"Buen lugar, buen sueldo","Buen ambiente laboral, sueldo competitivo, respetan horarios.",Tienes que estar pidiendo aumentos
Softtek,Meh,"Buenas prestaciones
Eventos
Buen sueldo","Depende del proyecto puedes trabajar horas extras excesivas
Dificultad de tener un ajuste de sueldo segun tu puesto una vez dentro de la empresa"
Softtek,buena empresa,excelente empresa se preocupan por los empleados y puedes tener un equilibrio entre la vida laboral y personal.,los ascensos y no hay mucho crecimiento
Softtek,Evaluacion,Buen ambiente de trabajo en el lugar,Pesado la carga de trabajo
Softtek,Gran empresa para los Staff,"Buenas prestaciones, gran ambiente laboral en las oficinas, se preocupan por los colaboradores, oportunidades de aprendizaje y desarrollo profesional","El onboarding suele ser bueno pero la transición a tu puesto sin apoyo de ARH suele ser donde se tropiezan. 
Quienes son de proyectos si te quedas sin uno por mucho tiempo te sacan."
Softtek,"Es buena, pero puedes estancarte","Es una empresa que siempre esta contratando, dependiendo tu proyecto es tu carga de trabajo",Puedes quedarte estancado facilmente si no te mueves
Softtek,Trabajo en Softtek,Se tienen muy muy buenas prestaciones e incluso son muy flexibles en permisos y horarios,"Se trabaja de vez en cuando por las noches o fines de semana, dependiendo el proyecto o cliente con el que te encuentres"
Softtek,"Todo bien, auqneu algo de inestabildiad aparente","Me gusta que es una empresa sólida, estable, que sigue transformándose.",Ha sido difícil mantenerme en modalidar en línea.
Softtek,"Muy restrictivo, el cliente no provee equipo de computo","Proyectos a largo plazo, pagan en tiempo, respetan los tiempos laborales, cursos internos","El cliente no provee equipo de computo, trabajas con el equipo de computo que te da la empresa y te conectas a una maquina virtual, la laptop presenta constantes fallas de rendimiento, no se puede instalar absolutamente nada para instalar algo tienes que subir un ticket a service desk solo para que te descargue un programa, el cliente tiene software muy desactualizado y tampoco permite actualizar o instalar herramientas necesarias, hay demasiado micromanagement te piden registrar cada hora y ademas hacer un reporte diario de las actividades."
Softtek,No tendría queja de no ser por la forma tan horrible que te despiden.,"Los proyectos son buenos, algunos, pero básicamente al ser parte de una consultora nunca te sientes realmente parte de los proyectos.","Cuando me despidieron lo hicieron de una forma abrupta, sin consideraciones, simplemente te cortan comunicación y ya no te responden, si aceptas la carta de despido pero en mi caso como yo quiería revisarla con calma simplemente me cortaron toda comunicación, horrible."
Softtek,Bien,Trabajar para el cliente era bueno,No pude colaborar ni ser parte del ambiente
Softtek,Depende del cliente,Softtek te deja ser tan libre como lo necesites siempre y cuando cumplas con el cliente y tus responsabilidades,Puede ser difícil si el cliente que te toca es pesado.
Softtek,Satisfecho,Buen empleo para quienes comienzan,Sueldo no es al 100 porciento nómina
Softtek,Buen lugar para comenzar.,Aprendizaje rapido para nuevos reclutas,"Ambiente estresante para nuevos proyectos
Utilidades casi inexistentes"
Softtek,ok,"Buena empresa, ofrece buenas prestaciones","Cómo asignado, difícilmente te integras"
Softtek,121,esta bien cerca de mi casa,No ayudan al empleado a mejorar
Softtek,"Empresa amable y movida, pero sin oportunidad de crecer","Hay muchos beneficios por encima de la ley, perfecto como primer empleo, todos son muy amables y atentos. Apoyan mucho el crecimiento profesional y el trabajo en equipo","No hay muchas oportunidades de ascender, la cadena de mando es muy rígida. Como puede haber temporadas innactivas, como te pueden tener sin descanso. Funcionan mucho como una familia, suele traer mas pros que contras pero podria ser un problema."
Softtek,Evaluacion Softtek,"-Home office
-apoyo escuela
-Buenos Proyectos
-Seguros
-","Salarios
Prestaciones
Pocos Proyectos
Pueden cancelar el proyecto de la nada"
Softtek,Good place to grow and make a long life career,"* Interesting projects and opportunities to grow
* Great experiences on different technologies
* Sometimes you do development and QA; huge growth overtime
* Full time, 90% nominal salary","* Lack of benefits rather than other companies
* Home Office will be removed"
Softtek,Decente si vas empezando,"Contrato por 3 meses,
Prestaciones superiores","Si no tienes proyecto buscan cualquier excusa para no renovarte el contrato, aún así avisaste que no estabas bien de salud, parece que ignoran ese tipo de mensajes.
Practicamente te dicen que le mientas al cliente cuando no conoces tecnologías, metodologías, etc 
Te asignan a cursos fuera de horario laboral y días que no estaban esteblecidos como laborales."
Softtek,Softtek,Experiencia en equipos internacionales de empresas reconocidas,Sueldo no tan competitivo tomando en consideración los clientes
Softtek,Cuidado! La peor decision de mi vida,"Buenas prestaciones laborales, pago a tiempo","Ambiente hostil y competitivo, quieren que hagas 3 trabajos durante las 8 horas del día, que se vuelven 16 horas; no respetan ni los dias festivos, ni los dias de vacacines"
Softtek,Positiva,Se aprende bastante en las academias,El horario que depende del cliente
Softtek,sueldo,"no tiene ventajas, firmas contratos a cada rato",poco sueldo y discriminacion a areas administrativas vs sistemas
Softtek,Buen lugar para comenzar,"Es un buen lugar para comenzar tu carrera, puedes aprender mucho.",Limite salarial y profesional. Puedes llegar a sentirte estancado y no hay seguimiento claro de career path. Además acaban de remover el trabajo remoto para cambiar a modalidad híbrida.
Softtek,Support Engineeer,Bueno para comenzar y ganar experiencia,Es un poco dificil crecer y ganar mas.
Softtek,Bien,Buen ambiente de trabajo en el proyecto con el cliente,Mal sueldo dificil acceder a aumentos
Softtek,buen lugar para aprender,"trabajo remoto, buen apoyo de los colaboradores.","sueldos muy bajos, mucho tiempo para que te apruben nuevo sueldos"
Softtek,Junior,Si eres Jr está bien para agarrar experiencia pero depende mucho del proyecto,Prestaciones limitadas y no mucha oportunidad de crecimiento
Softtek,RAPIDA,"Trabajo remoto, horario felxible.por proyrctos","Dificultad de crecimiento, dificultad de aumento de sueldo, no utilidades"
Softtek,Sueldo,Siempre hay pago aun que no tengas proyecto,En incremento es muy lento
Softtek,Puesto,"Vales de despensa, apoyo por teletrabajo, SGMM, gastos médicos menores",No seas bueno el reparto de utilidades
Softtek,"Buena experiencia de trabajo, mala paga","Buen equipo de trabajo, aprendes mucho, flexibilidad en el trabajo, cursos gratis","Tu salario no es integro y tu sueldo básicamente se conforma de los ""beneficios"" que ofrecen y así lo disfrazan"
Softtek,Buena experiencia,"Crecimiento rápido si te capacitas
Buena colaboración con los equipos
Cultura de salud física y emocional de los empleados","Lo normal de las consultoras, puede que ya no existan proyectos donde hagas fit y te toque salida"
Softtek,Buena empresa para empezar,Variedad de proyectos y clientes,No le veo ninguna desventaja real
Softtek,Evaluación Softtek.,Facilidad de poder trabajar en modalidad home office.,Quizá puedan aumentar un poco las prestaciones.
Softtek,Buen trabajo,"Tienen un amplia cartera de clientes, buenos beneficios, trabajo desde casa, capacitacion continua","Dificil de crecer, rotacion de proyectos complicada, salarios algo bajos"
